BioSample,Sample,Run,ISOLATION_LOCATION,DB_OF_ORIGIN,TESTING_LOCATION,STUDY_NAME,STUDY_PMID,MEDIA,INH,RIF,RFB,EMB,STM,ETH,CIP,CYS,CAP,KAN,OFX,PAS,PZA,AMI,MXF,PRO,CFZ,LEV,CLAR,GATI,AMOXCLAV,LZD,Platform,TaxID,ScientificName,LoadDate,ReleaseDate,Combined_Runs,Num_Runs,TDR_Sample
SAMEA3558133,ERS865282,ERR1213848,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,30-40,,1-2,8-16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:02:12,2016-01-20 05:34:31,"ERR1213848,ERR1034600",2,nan
SAMEA3558133,ERS865282,ERR1034600,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,0.05-0.2,30-40,,1-2,8-16,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:45:29,2015-10-27 04:36:28,"ERR1213848,ERR1034600",2,nan
SAMEA3558134,ERS865283,ERR1034601,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,>3.2,>120,,>8,2-4,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:44:36,2015-10-27 04:36:28,"ERR1034601,ERR1213849",2,nan
SAMEA3558134,ERS865283,ERR1213849,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,>3.2,>120,,>8,2-4,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:39:18,2016-01-20 05:34:31,"ERR1034601,ERR1213849",2,nan
SAMEA3558135,ERS865284,ERR1034602,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,40-80,,2-4,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:44:25,2015-10-27 04:36:28,"ERR1034602,ERR1213850",2,nan
SAMEA3558135,ERS865284,ERR1213850,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,40-80,,2-4,1-2,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:02:47,2016-01-20 05:34:31,"ERR1034602,ERR1213850",2,nan
SAMEA3558136,ERS865285,ERR1213851,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,>120,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:08:10,2016-01-20 05:34:31,"ERR1213851,ERR1034603",2,nan
SAMEA3558136,ERS865285,ERR1034603,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,1.6-3.2,>120,,1-2,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:44:33,2015-10-27 04:36:28,"ERR1213851,ERR1034603",2,nan
SAMEA3558137,ERS865286,ERR1213852,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,>3.2,<10,,2-4,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2016-01-20 07:18:19,2016-01-20 05:34:31,"ERR1213852,ERR1034604",2,nan
SAMEA3558137,ERS865286,ERR1034604,,PATRIC_20191206,ITM,Phelan 2016 BMC Med,27005572.0,LJ,>3.2,<10,,2-4,<1,,,,,,,,,,,,,,,,,,ILLUMINA,1773.0,Mycobacterium tuberculosis,2015-12-10 05:44:33,2015-10-27 04:36:28,"ERR1213852,ERR1034604",2,nan
