pid,Original_ID,SampleID,F2,Coll2014,Freschi2020,Lineage
T0471,S0471-01,MFS-860,0.0105782554327621,2.2.1.1,2.2.1.1.1,2.0
T0471,S0471-08,MFS-861,0.0107716209218021,2.2.1.1,2.2.1.1.1,2.0
T0472,S0472-01,MFS-862,0.007899013568162,4.4.1.1,4.2.1.2.2.1.1,4.0
T0472,S0472-08,MFS-863,0.0081746344121832,4.4.1.1,4.2.1.2.2.1.1,4.0
T0474,S0474-01,MFS-864,0.0105857759195836,2.2.1,2.2.1.1.1.i2,2.0
T0474,S0474-07,MFS-865,0.0098512218656733,2.2.1,2.2.1.1.1.i2,2.0
T0475,S0475-01,MFS-866,0.0118000261062524,2.2.1.1,2.2.1.1.1,2.0
T0475,S0475-06,MFS-867,0.0106223953614785,2.2.1.1,2.2.1.1.1,2.0
T0477,S0477-01,MFS-868,0.0110161004545104,2.2.1.1,2.2.1.1.1,2.0
T0477,S0477-06,MFS-869,0.0098861441496391,2.2.1.1,2.2.1.1.1,2.0
T0002,S0002-01,MFS-509,0.0064672594987873,4.8,4.2.1.1.1.1.1.1.i1,4.0
T0002,S0002-05,MFS-510,0.0078717369913758,4.8,4.2.1.1.1.1.1.1.i1,4.0
T0003,S0003-01,MFS-511,0.0096066565809379,2.2.1,2.2.1.1.1,2.0
T0003,S0003-08,MFS-512,0.0101500081526169,2.2.1,2.2.1.1.1,2.0
T0008,S0008-06,MFS-513,0.0069755425421977,4.1.1.1,4.1.i1.2.1,4.0
T0008,08-01,MFS-4,0.0070249453292822,4.1.1.1,4.1.i1.2.1,4.0
T0011,S0011-01,MFS-514,0.0108641771315267,2.2.1.1,2.2.1.1.1,2.0
T0011,S0011-07,MFS-515,0.010221186475326,2.2.1.1,2.2.1.1.1,2.0
T0012,S0012-01,MFS-516,0.0177930388637427,4.1.1.3,4.1.i1.2.1,4.0
T0012,S0012-08,MFS-517,0.0172145013101595,4.1.1.3,4.1.i1.2.1,4.0
T0014,S0014-01,MFS-518,0.0175458937198067,4.1.1.3,4.1.i1.2.1,4.0
T0016,S0016-01,MFS-519,0.0074318744838976,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0017,S0017-01,MFS-520,0.0192460566503493,1.1.2,1.1.2,1.0
T0019,S0019-01,MFS-521,0.0061511083600912,4.3.3,4.2.1.2.1.1.i4.1,4.0
T0019,S0019-08,MFS-522,0.0056423727450612,4.3.3,4.2.1.2.1.1.i4.1,4.0
