covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,HR_TCC_assoc,HR_TCC_assoc_lower,HR_TCC_assoc_upper,exclude_resistance,MIC_type,binarize_MICs,include_drugs,num_pids,significant
RIF_pred_MIC,0.11270876544846598,1.2394927686837784,0.5473913984276553,1.8051305470590222,1.3435514679605773,0.4563461705193299,0.08388868468101968,295.350978027781,0.3133500672828341,260.2510534050046,138.34615211486536,0.9332017660754279,1.9680284813275353,-2.53143878962737,2.7568563205243017,0.8934108143290757,0.06349105046823014,12.571580990923115,0,predicted,False,"RIF,INH,EMB",374,
cxr_cavity_chest_radiograph_1,-0.407128281728507,0.025324882817177947,0.015152398560283054,0.04098236132947043,0.20244100703531,0.6182645987081121,-2.0110959122896244,198.67732557714947,0.38205408386346906,234.21115762068487,107.4929184363172,0.04566679526317263,1.9719761385263315,-0.8063371170613796,-0.007919446395634466,1.5024968361910065,1.0079508881568833,2.2396892242359074,0,predicted,False,"RIF,INH,EMB",374,1.0
diabetes,0.3626523061725002,0.057083851723901145,0.022600978890046357,0.08043819657694905,0.28361628404756495,0.40912349373350687,1.2786723702778653,344.0228352003386,0.2903389912615283,268.9726107651423,150.9517252626899,0.2018743627715976,1.9668835753763576,-0.19518790462993096,0.9204925169749314,0.6958283266584575,0.3983228120189862,1.2155393705074333,0,predicted,False,"RIF,INH,EMB",374,
predicted_label,-0.47057617356643294,0.031435923746472916,0.0066162516944632994,0.038272717164084986,0.19563414110038407,0.2174834585027634,-2.4053888085156374,908.8070244207262,0.1786336044107081,311.3106977782727,231.88037004192296,0.016354211007382696,1.9625777187888076,-0.8545233799244325,-0.08662896720843344,1.6009163332087715,1.090491996357932,2.350253935374494,0,predicted,False,"RIF,INH,EMB",374,1.0
screen_sex,0.22997484601911303,0.02634306676701217,0.01002336592386081,0.03670054488833501,0.19157386274837968,0.3931766264318505,1.200450012960122,364.11198406113107,0.28221592221141334,272.0513808580898,155.71026801171996,0.2307450263336339,1.9665005512498288,-0.14675526068063463,0.6067049527188607,0.7945535884377473,0.5451441887924228,1.1580705029576865,0,predicted,False,"RIF,INH,EMB",374,
screen_years,-1.1325470149095864,0.0634299825876204,0.02288287605446937,0.08707562117723876,0.29508578613216657,0.3727833057017622,-3.8380263236478886,393.2684131455481,0.27155291308790835,276.0928279254157,162.21224304139818,0.0001444693301906488,1.9660144699871671,-1.7126899403329645,-0.5524040894862084,3.103551233118861,1.7374249260355255,5.5438540752215815,0,predicted,False,"RIF,INH,EMB",374,1.0
smear_pos_no_contam_sputum_specimen_1,-0.4320854845486804,0.027226963698924574,0.008653858791818946,0.03616928445047082,0.19018224010267315,0.3284362094293847,-2.271954964435226,474.4356824561353,0.24723521317629604,285.3096161559779,178.16637062385794,0.02353607369420492,1.9649767436096996,-0.8057891633980292,-0.05838180569933166,1.5404667956415061,1.0601196781854385,2.2384623144962625,0,predicted,False,"RIF,INH,EMB",374,1.0
RIF_AUC,0.5648192809090532,0.07572094707390908,0.022465148071749066,0.09893493341471646,0.31453923986478455,0.3065728472485804,1.7957037129989253,526.7419175380923,0.23463892418564375,291.614466689557,187.70008559397468,0.07311466377203513,1.964477843761572,-0.05308608679892268,1.182724648617029,0.5684628695682998,0.30644265154991207,1.0545204214994612,0,measured,False,RIF,374,
RIF_midpoint,0.11112843595286431,0.021032360500416635,0.010667542972254883,0.032055488238413345,0.17904046536583104,0.5241032140818599,0.6206889360223513,245.2410177048569,0.3438764574731159,249.9932685142847,123.79717094683873,0.5353807106134065,1.9696843116573604,-0.24152475983004607,0.4637816317357747,0.8948238139991037,0.6289008714653871,1.2731889784699897,0,measured,False,RIF,374,
cxr_cavity_chest_radiograph_1,-0.4062548914674927,0.024509352385257237,0.014612488824543338,0.03960892417061869,0.19901990898053062,0.6160738785755956,-2.04127764678676,199.55142284746194,0.3812164077044558,235.76616706241006,108.07620731874637,0.04253959204115487,1.971923206865079,-0.7987068686143768,-0.01380291432060865,1.5011851429804912,1.013898614348643,2.2226648716283197,0,measured,False,RIF,374,1.0
diabetes,0.3691285189791508,0.05754108889236841,0.019050001703448758,0.0772260906525988,0.2778958269794615,0.3421033932300363,1.3282981719852598,446.32907928084666,0.25490092265298353,283.8943303201565,173.52264169959022,0.18475841536867058,1.9652932538948444,-0.17701827506911383,0.9152753130274154,0.6913365548723349,0.40040637382359867,1.1936529070171866,0,measured,False,RIF,374,
predicted_label,-0.46262382960374254,0.0312430664085754,0.007259222579431996,0.03874426307398846,0.1968356245042763,0.24009156359102393,-2.3503053919677632,773.6627799644906,0.19360793238184218,307.24791235424277,219.91296385490472,0.019008271926447544,1.9630349914358436,-0.8490190480667634,-0.0762286111407216,1.5882357827472515,1.079209265219246,2.3373528961376357,0,measured,False,RIF,374,1.0
screen_sex,0.24302541374721442,0.026149707813851907,0.009681562130049472,0.036153988681569695,0.19014202239791628,0.38257715684373217,1.2781257434962345,378.7378255871937,0.27671306078650443,275.58356664250573,159.51476145702057,0.20198785264770241,1.9662473322752125,-0.13084083054610218,0.616891658040531,0.78425158274682,0.539619154309634,1.1397863477025052,0,measured,False,RIF,374,
screen_years,-1.1263364155604059,0.06249666964764909,0.0213579507277136,0.08456655206628648,0.2908032875781952,0.35313693582498895,-3.8731901036625698,425.7897544833804,0.2609764957821406,281.5794425189871,169.49231349880984,0.00012431176797565076,1.9655510475884304,-1.697925122101887,-0.5547477090189248,3.0843360505138273,1.7415015642073053,5.462601394118994,0,measured,False,RIF,374,1.0
